genome	depth	basecalling	assembler	errors
Klebsiella_variicola_AJ292	20	simplex	canu	8245
Klebsiella_variicola_AJ292	20	simplex	flye	2969
Klebsiella_variicola_AJ292	20	simplex	miniasm	1261
Klebsiella_variicola_AJ292	20	simplex	necat	54
Klebsiella_variicola_AJ292	20	simplex	nextdenovo	28
Klebsiella_variicola_AJ292	20	simplex	raven	56067
Klebsiella_variicola_AJ292	20	simplex	trycycler	457
Klebsiella_variicola_AJ292	20	duplex	canu	33
Klebsiella_variicola_AJ292	20	duplex	flye	2968
Klebsiella_variicola_AJ292	20	duplex	miniasm	57
Klebsiella_variicola_AJ292	20	duplex	necat	2919
Klebsiella_variicola_AJ292	20	duplex	nextdenovo	33
Klebsiella_variicola_AJ292	20	duplex	raven	54120
Klebsiella_variicola_AJ292	20	duplex	trycycler	13
Klebsiella_variicola_AJ292	25	simplex	canu	2975
Klebsiella_variicola_AJ292	25	simplex	flye	7
Klebsiella_variicola_AJ292	25	simplex	miniasm	2206
Klebsiella_variicola_AJ292	25	simplex	necat	62
Klebsiella_variicola_AJ292	25	simplex	nextdenovo	2929
Klebsiella_variicola_AJ292	25	simplex	raven	55727
Klebsiella_variicola_AJ292	25	simplex	trycycler	2193
Klebsiella_variicola_AJ292	25	duplex	canu	2973
Klebsiella_variicola_AJ292	25	duplex	flye	6
Klebsiella_variicola_AJ292	25	duplex	miniasm	2375
Klebsiella_variicola_AJ292	25	duplex	necat	28
Klebsiella_variicola_AJ292	25	duplex	nextdenovo	2966
Klebsiella_variicola_AJ292	25	duplex	raven	55297
Klebsiella_variicola_AJ292	25	duplex	trycycler	2369
Klebsiella_variicola_AJ292	30	simplex	canu	15
Klebsiella_variicola_AJ292	30	simplex	flye	13
Klebsiella_variicola_AJ292	30	simplex	miniasm	13
Klebsiella_variicola_AJ292	30	simplex	necat	40
Klebsiella_variicola_AJ292	30	simplex	nextdenovo	14
Klebsiella_variicola_AJ292	30	simplex	raven	44
Klebsiella_variicola_AJ292	30	simplex	trycycler	5
Klebsiella_variicola_AJ292	30	duplex	canu	19
Klebsiella_variicola_AJ292	30	duplex	flye	9
Klebsiella_variicola_AJ292	30	duplex	miniasm	12
Klebsiella_variicola_AJ292	30	duplex	necat	24
Klebsiella_variicola_AJ292	30	duplex	nextdenovo	13
Klebsiella_variicola_AJ292	30	duplex	raven	45
Klebsiella_variicola_AJ292	30	duplex	trycycler	7
Klebsiella_variicola_AJ292	35	simplex	canu	14
Klebsiella_variicola_AJ292	35	simplex	flye	6
Klebsiella_variicola_AJ292	35	simplex	miniasm	32
Klebsiella_variicola_AJ292	35	simplex	necat	91
Klebsiella_variicola_AJ292	35	simplex	nextdenovo	53886
Klebsiella_variicola_AJ292	35	simplex	raven	30
Klebsiella_variicola_AJ292	35	simplex	trycycler	4
Klebsiella_variicola_AJ292	35	duplex	canu	17
Klebsiella_variicola_AJ292	35	duplex	flye	10
Klebsiella_variicola_AJ292	35	duplex	miniasm	11
Klebsiella_variicola_AJ292	35	duplex	necat	85
Klebsiella_variicola_AJ292	35	duplex	nextdenovo	11
Klebsiella_variicola_AJ292	35	duplex	raven	20
Klebsiella_variicola_AJ292	35	duplex	trycycler	4
Klebsiella_variicola_AJ292	40	simplex	canu	12
Klebsiella_variicola_AJ292	40	simplex	flye	2
Klebsiella_variicola_AJ292	40	simplex	miniasm	41
Klebsiella_variicola_AJ292	40	simplex	necat	2990
Klebsiella_variicola_AJ292	40	simplex	nextdenovo	13
Klebsiella_variicola_AJ292	40	simplex	raven	34
Klebsiella_variicola_AJ292	40	simplex	trycycler	2
Klebsiella_variicola_AJ292	40	duplex	canu	11
Klebsiella_variicola_AJ292	40	duplex	flye	3
Klebsiella_variicola_AJ292	40	duplex	miniasm	48
Klebsiella_variicola_AJ292	40	duplex	necat	3167
Klebsiella_variicola_AJ292	40	duplex	nextdenovo	12
Klebsiella_variicola_AJ292	40	duplex	raven	63
Klebsiella_variicola_AJ292	40	duplex	trycycler	3
Klebsiella_variicola_AJ292	45	simplex	canu	20
Klebsiella_variicola_AJ292	45	simplex	flye	240
Klebsiella_variicola_AJ292	45	simplex	miniasm	38
Klebsiella_variicola_AJ292	45	simplex	necat	64
Klebsiella_variicola_AJ292	45	simplex	nextdenovo	10
Klebsiella_variicola_AJ292	45	simplex	raven	54435
Klebsiella_variicola_AJ292	45	simplex	trycycler	3
Klebsiella_variicola_AJ292	45	duplex	canu	10
Klebsiella_variicola_AJ292	45	duplex	flye	2
Klebsiella_variicola_AJ292	45	duplex	miniasm	30
Klebsiella_variicola_AJ292	45	duplex	necat	322
Klebsiella_variicola_AJ292	45	duplex	nextdenovo	14
Klebsiella_variicola_AJ292	45	duplex	raven	54451
Klebsiella_variicola_AJ292	45	duplex	trycycler	3
Klebsiella_variicola_AJ292	50	simplex	canu	11
Klebsiella_variicola_AJ292	50	simplex	flye	2955
Klebsiella_variicola_AJ292	50	simplex	miniasm	15
Klebsiella_variicola_AJ292	50	simplex	necat	2922
Klebsiella_variicola_AJ292	50	simplex	nextdenovo	6
Klebsiella_variicola_AJ292	50	simplex	raven	17
Klebsiella_variicola_AJ292	50	simplex	trycycler	0
Klebsiella_variicola_AJ292	50	duplex	canu	10
Klebsiella_variicola_AJ292	50	duplex	flye	3
Klebsiella_variicola_AJ292	50	duplex	miniasm	8
Klebsiella_variicola_AJ292	50	duplex	necat	2780
Klebsiella_variicola_AJ292	50	duplex	nextdenovo	9
Klebsiella_variicola_AJ292	50	duplex	raven	11
Klebsiella_variicola_AJ292	50	duplex	trycycler	1
Klebsiella_variicola_AJ292	55	simplex	canu	14
Klebsiella_variicola_AJ292	55	simplex	flye	6
